,UNODC,unodc_ddds@un.org,REGION,SUB-REGION,INDICATOR,DIMENSION,CATEGORY,SEX,AGE,YEAR,COUNTS,CASE-VALUE,SOURCE
119,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2015,Counts,106,GLOTIP
120,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2015,Counts,9,GLOTIP
121,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,184,GLOTIP
124,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2016,Counts,11,GLOTIP
125,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2016,Counts,90,GLOTIP
126,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2016,Counts,9,GLOTIP
127,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2016,Counts,91,GLOTIP
128,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2016,Counts,19,GLOTIP
129,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,197,GLOTIP
132,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2019,Counts,28,GLOTIP
133,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2019,Counts,255,GLOTIP
134,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2019,Counts,27,GLOTIP
135,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2019,Counts,624,GLOTIP
139,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2019,Counts,42,GLOTIP
140,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,493,GLOTIP
142,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2019,Counts,8,GLOTIP
146,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2020,Counts,16,GLOTIP
147,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,116,GLOTIP
148,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2020,Counts,23,GLOTIP
149,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,489,GLOTIP
153,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2020,Counts,21,GLOTIP
154,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,202,GLOTIP
158,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Other,18 years or over,2020,Counts,9,GLOTIP
160,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2021,Counts,15,GLOTIP
161,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2021,Counts,136,GLOTIP
162,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2021,Counts,45,GLOTIP
163,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2021,Counts,752,GLOTIP
167,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2021,Counts,32,GLOTIP
168,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2021,Counts,279,GLOTIP
169,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2021,Counts,5,GLOTIP
170,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2021,Counts,6,GLOTIP
172,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Other,18 years or over,2021,Counts,5,GLOTIP
185,ARM,Armenia,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,23,GLOTIP
194,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2017,Counts,24,GLOTIP
196,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2017,Counts,13,GLOTIP
198,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,10,GLOTIP
202,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2018,Counts,29,GLOTIP
204,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,27,GLOTIP
206,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,13,GLOTIP
210,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2019,Counts,41,GLOTIP
212,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2019,Counts,39,GLOTIP
214,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,20,GLOTIP
218,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,49,GLOTIP
220,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,41,GLOTIP
222,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,17,GLOTIP
226,AUT,Austria,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2017,Counts,46,GLOTIP
229,AUT,Austria,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2018,Counts,33,GLOTIP
230,AUT,Austria,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,6,GLOTIP
231,AUT,Austria,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2019,Counts,40,GLOTIP
232,AUT,Austria,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,6,GLOTIP
233,AUT,Austria,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,42,GLOTIP
234,AUT,Austria,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,41,GLOTIP
236,AUT,Austria,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,209,GLOTIP
240,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2014,Counts,11,GLOTIP
242,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2014,Counts,74,GLOTIP
244,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,37,GLOTIP
246,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2014,Counts,5,GLOTIP
248,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2015,Counts,7,GLOTIP
250,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2015,Counts,51,GLOTIP
251,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2015,Counts,5,GLOTIP
252,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,37,GLOTIP
256,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2016,Counts,10,GLOTIP
258,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2016,Counts,50,GLOTIP
260,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,44,GLOTIP
264,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2017,Counts,15,GLOTIP
266,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2017,Counts,46,GLOTIP
268,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,53,GLOTIP
272,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2018,Counts,66,GLOTIP
274,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,8,GLOTIP
276,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,30,GLOTIP
280,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2019,Counts,19,GLOTIP
282,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2019,Counts,62,GLOTIP
284,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,47,GLOTIP
288,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,8,GLOTIP
290,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,40,GLOTIP
292,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,35,GLOTIP
298,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2014,Counts,11,GLOTIP
299,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2014,Counts,28,GLOTIP
300,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,370,GLOTIP
301,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2014,Counts,10,GLOTIP
306,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2015,Counts,20,GLOTIP
307,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2015,Counts,24,GLOTIP
308,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,287,GLOTIP
312,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2016,Counts,7,GLOTIP
314,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2016,Counts,21,GLOTIP
315,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2016,Counts,20,GLOTIP
316,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,298,GLOTIP
318,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2016,Counts,10,GLOTIP
320,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2017,Counts,16,GLOTIP
322,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2017,Counts,51,GLOTIP
323,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2017,Counts,32,GLOTIP
324,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,284,GLOTIP
326,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2017,Counts,7,GLOTIP
328,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2018,Counts,47,GLOTIP
330,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,12,GLOTIP
331,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2018,Counts,49,GLOTIP
332,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,258,GLOTIP
336,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,51,GLOTIP
338,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,13,GLOTIP
339,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2020,Counts,24,GLOTIP
340,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,309,GLOTIP
348,BHR,Bahrain,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,15,GLOTIP
356,BHR,Bahrain,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,9,GLOTIP
361,BIH,Bosnia and Herzegovina,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2014,Counts,6,GLOTIP
363,BIH,Bosnia and Herzegovina,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,6,GLOTIP
364,BIH,Bosnia and Herzegovina,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,7,GLOTIP
374,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2014,Counts,10,GLOTIP
375,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,79,GLOTIP
381,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2015,Counts,16,GLOTIP
382,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2015,Counts,10,GLOTIP
383,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,79,GLOTIP
389,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2016,Counts,17,GLOTIP
390,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2016,Counts,64,GLOTIP
391,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,93,GLOTIP
392,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2016,Counts,7,GLOTIP
398,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2017,Counts,26,GLOTIP
399,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,93,GLOTIP
400,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2017,Counts,7,GLOTIP
404,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2018,Counts,5,GLOTIP
405,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,5,GLOTIP
406,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2018,Counts,13,GLOTIP
407,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,102,GLOTIP
408,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2018,Counts,17,GLOTIP
412,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2019,Counts,18,GLOTIP
413,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,92,GLOTIP
414,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2019,Counts,10,GLOTIP
420,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2020,Counts,30,GLOTIP
421,BLR,Belarus,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,70,GLOTIP
425,BLZ,Belize,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2017,Counts,5,GLOTIP
439,BLZ,Belize,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2018,Counts,5,GLOTIP
494,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2014,Counts,11,GLOTIP
495,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2014,Counts,12,GLOTIP
497,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2014,Counts,10,GLOTIP
498,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2014,Counts,16,GLOTIP
499,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,36,GLOTIP
502,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2015,Counts,30,GLOTIP
503,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2015,Counts,51,GLOTIP
504,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2015,Counts,15,GLOTIP
505,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2015,Counts,30,GLOTIP
506,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2015,Counts,18,GLOTIP
507,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,46,GLOTIP
509,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2015,Counts,13,GLOTIP
510,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2016,Counts,20,GLOTIP
511,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2016,Counts,18,GLOTIP
512,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2016,Counts,14,GLOTIP
513,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2016,Counts,35,GLOTIP
514,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2016,Counts,27,GLOTIP
515,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,51,GLOTIP
516,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2016,Counts,5,GLOTIP
517,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2016,Counts,14,GLOTIP
519,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2017,Counts,53,GLOTIP
